Temperature,Density,VaporPressure,Viscosity,SurfaceTension,ThermalConductivity
C,g/cm^3,kPa,mm^2/s,N/m,W/m/K
-40,0.843866667,,9.2,,
-20,0.829683333,,4.5,,
-10,,,,0.028028403,
0,0.815116667,0.04835033,,,0.124230769
20,0.8017,0.435152966,,0.024818739,0.120192308
40,0.787325,0.821955603,1.31,0.023619632,0.116057692
60,,2.272465491,,,0.112211538
80,,4.931733619,,,
100,,9.863467237,0.68,,
120,,18.75992788,,,
