Temperature,Density,Error_Density,Viscosity,Error_Viscosity,VaporPressure,Error_VaporPressure,SurfaceTension,Error_SurfaceTension,ThermalConductivity,Error_ThermalConductivity
C,g/cm^3,g/cm^3,mm^2/s,mm^2/s,kPa,kPa,N/m,N/m,W/m/K,W/m/K
-60.0,0.7500596140135163,0.00013038598648373867,2.3791628695692686,0.4415204055692685,,,,,,
-50.0,0.7425853363745142,0.0006753363745142238,1.890354719060533,0.32021818006053304,,,,,,
-40.0,0.7350227748716701,0.001362774871670136,1.5410975709976806,0.23362544499768068,,,,,,
-30.0,0.7273673406173053,0.0019373406173053276,1.2838398039502317,0.1719061919502316,,,,,,
-20.0,0.7196140504775731,0.0024340504775730576,1.0893522949466472,0.12778058394664715,0.3047282949947185,0.08527170500528153,,,,
-10.0,0.711757478555621,0.002837478555620998,0.9389814224853817,0.09612186148538171,0.6226120404210809,0.021387959578919147,,,,
-9.55,,,,,,,0.024741447348833327,0.0010414473488333277,0.13378381450295293,0.006266185497047078
-3.15,,,,,,,0.024067052657569872,0.0010670526575698724,0.1321099689352531,0.006320031064746906
0.0,0.7037916997731067,0.0031716997731067176,0.8204279940189129,0.07331829101891285,1.1977779440002154,0.05222205599978458,,,,
6.85,,,,,,,0.023020178487604685,0.0010201784876046859,0.12950849171320708,0.006371508286792921
10.0,0.6957102239256561,0.003450223925656082,0.7253474589106421,0.05685585191064213,2.1842527729932963,0.1087472270067038,,,,
16.85,,,,,,,0.021981891506208218,0.0010818915062082192,0.1269189601800688,0.006391039819931221
20.0,0.6875059181792434,0.003655918179243489,0.647933723105331,0.045038351105331054,3.797587825160026,0.20241217483997387,,,,
26.85,,,,,,,0.02095244776518783,0.0011524477651878272,0.1243358310926389,0.006414168907361101
30.0,0.6791709154428356,0.0038309154428355363,0.5840554049493241,0.03659782794932409,6.326538494952255,0.34346150504774453,,,,
36.85,,,,,,,0.019932121468653623,0.0011321214686536227,0.12175365292476398,0.006446347075236031
40.0,0.670696505354271,0.003956505354271056,0.5307133474078327,0.030668352407832722,10.14313098190824,0.5568690180917599,,,,
46.85,,,,,,,0.018921207067939597,0.0011212070679395975,0.11916698458825101,0.006503015411748997
50.0,0.6620730036896078,0.004043003689607749,0.4856908357295431,0.026608422729543058,15.710250899541348,0.8497491004586504,,,,
56.85,,,,,,,0.01792002169970539,0.001220021699705389,0.1165703133669225,0.0065896866330775045
60.0,0.6532895947626699,0.004109594762669921,0.4473226745197204,0.023973218519720396,23.586143641886125,1.2438563581138737,,,,
66.85,,,,,,,0.016928908041569362,0.0012289080415693633,0.11395796879794974,0.006722031202050255
70.0,,,,,34.425546205299405,1.754453794700595,,,,
76.85,,,,,,,0.015948237680037378,0.001148237680037377,0.11132402885133903,0.006905971148660969
80.0,,,,,48.977526754904105,2.3924732450958928,,,,
86.85,,,,,,,0.014978415112810676,0.001178415112810676,0.10866221406488501,0.007147785935114989
90.0,,,,,68.08044731161634,3.199552688383662,,,,
96.85,,,,,,,0.014019882544605261,0.0012198825446052605,0.10596576418689449,0.007454235813105517
100.0,,,,,92.65475231666889,4.185247683331113,,,,
106.85,,,,,,,0.013073125686591384,0.0011731256865913833,0.10322729019386265,0.007842709806137355
110.0,,,,,123.69450040640675,5.405499593593248,,,,
116.85,,,,,,,0.012138680840832103,0.0011386808408321031,0.10043859200942187,0.00829140799057812
120.0,,,,,162.258690712698,6.941309287301976,,,,
126.85,,,,,,,0.011217143652519426,0.001217143652519426,0.097590428401638,0.008839571598362003
136.85,,,,,,,0.010309180059999909,0.0011591800599999088,0.09467221962164986,0.009467780378350138
140.0,,,,,,,0.010026100071876298,0.0011461000718762972,0.09373656514220707,0.009683434857792925
