Temperature,Density,Error_Density,Viscosity,Error_Viscosity,VaporPressure,Error_VaporPressure,SurfaceTension,Error_SurfaceTension,ThermalConductivity,Error_ThermalConductivity
C,g/cm^3,g/cm^3,mm^2/s,mm^2/s,kPa,kPa,N/m,N/m,W/m/K,W/m/K
-40.0,0.8168172198262019,0.006157780173798089,6.051549516393376,0.548450483606624,,,,,,
-20.0,0.8031633952190618,0.0054366047809382145,3.519620151263789,0.0196201512637888,,,,,,
-10.0,,,,,,,0.027464306235608867,0.0016218672356088683,,
0.0,0.7892487026600817,0.004976297339918223,,,0.14038873920043515,0.09203840920043516,,,0.13001682161843095,0.0009783596184309573
20.0,0.7750496938811732,0.004800306118826869,,,0.42645244481763017,0.20210184018236982,0.02488596131656372,0.001049723316563722,,
30.0,,,,,,,,,0.1238976396517731,0.00014082234822690443
40.0,0.7605393184863175,0.0047440145136824485,1.1995687356322697,0.05956873563226983,1.1410418332585637,0.26111772474143624,0.023193676178117118,0.0003600091781171197,0.12189631568305907,0.0018963156830590772
60.0,,,,,2.7424186076739625,0.6904547933260377,,,0.11793039473473628,0.0017765487347362746
80.0,,,,,6.009962670288152,1.3876377577118477,,,,
100.0,,,0.6311083846632891,0.021108384663289126,12.154315130184294,2.447484409815706,,,,
120.0,,,,,22.911749852682078,3.6809314273179226,,,,
