Component,Weight Percentage
n-C7,0.0
n-C9,0.0
n-C10,20.6
n-C12,0.0
i-C8,0.0
i-C10,33.1
i-C11,0.0
i-C15,0.0
C9H18,26.5
C10H18,10.7
C7H8,0.1
C8H10,1.3
C9H12,6.6
C9H10,0.02
C9H8,0.2
C10H12,0.8
C10H8,0.0
C11H10,0.0
C12H10,0.0
C12H8,0.0
C14H10,0.0
