Component,Weight Percentage
n-C7,0.0
n-C9,0.0
n-C10,0.0
n-C12,0.0
i-C8,29.8
i-C10,0.0
i-C11,29.8
i-C15,29.8
C9H18,0.0
C10H18,0.0
C7H8,0.0
C8H10,0.0
C9H12,9.5
C9H10,0.0
C9H8,0.0
C10H12,0.0
C10H8,0.0
C11H10,0.0
C12H10,0.0
C12H8,0.0
C14H10,0.0
