Component,Weight Percentage
n-C7,0.0
n-C9,0.0
n-C10,45.4
n-C12,0.0
i-C8,0.0
i-C10,31.2
i-C11,0.0
i-C15,0.0
C9H18,9.5
C10H18,5.7
C7H8,0.0
C8H10,0.0
C9H12,7.8
C9H10,0.0
C9H8,0.0
C10H12,0.4
C10H8,0.005
C11H10,0.004
C12H10,0.0
C12H8,0.0
C14H10,0.0
