Component,Weight Percentage
n-C7,0.0
n-C9,0.0
n-C10,2.2
n-C12,0.0
i-C8,0.0
i-C10,13.7
i-C11,55.0
i-C15,0.0
C9H18,7.2
C10H18,1.0
C7H8,0.0
C8H10,0.0
C9H12,20.4
C9H10,0.1
C9H8,0.0
C10H12,0.4
C10H8,0.0
C11H10,0.0
C12H10,0.0
C12H8,0.0
C14H10,0.0
