Component,Weight Percentage
n-C7,0.0
n-C9,0.0
n-C10,17.5
n-C12,0.0
i-C8,0.0
i-C10,9.4
i-C11,0.0
i-C15,0.0
C9H18,30.6
C10H18,17.3
C7H8,0.0
C8H10,0.0
C9H12,14.4
C9H10,0.6
C9H8,1.4
C10H12,8.5
C10H8,0.02
C11H10,0.2
C12H10,0.035
C12H8,0.0
C14H10,0.0
