Component,Weight Percentage
n-C7,0.0
n-C9,0.0
n-C10,11.8
n-C12,0.0
i-C8,0.0
i-C10,0.0
i-C11,61.0
i-C15,0.0
C9H18,11.8
C10H18,4.8
C7H8,0.0
C8H10,0.0
C9H12,7.5
C9H10,0.0
C9H8,0.0
C10H12,1.7
C10H8,0.1
C11H10,1.3
C12H10,0.0
C12H8,0.0
C14H10,0.0
