Component,Weight Percentage
n-C7,0.0
n-C9,0.0
n-C10,12.0
n-C12,0.0
i-C8,0.0
i-C10,0.0
i-C11,25.8
i-C15,0.0
C9H18,23.6
C10H18,15.8
C7H8,0.0
C8H10,0.0
C9H12,13.6
C9H10,0.0
C9H8,1.3
C10H12,5.6
C10H8,0.2
C11H10,1.7
C12H10,0.2
C12H8,0.012
C14H10,0.0
