Component,Weight Percentage
n-C7,0.0
n-C9,0.0
n-C10,22.2
n-C12,0.0
i-C8,0.0
i-C10,23.4
i-C11,0.0
i-C15,0.0
C9H18,23.2
C10H18,10.7
C7H8,0.0
C8H10,0.0
C9H12,13.5
C9H10,0.0
C9H8,0.0
C10H12,4.5
C10H8,0.2
C11H10,2.2
C12H10,0.0
C12H8,0.0
C14H10,0.0
