Component,Weight Percentage
n-C7,0.0
n-C9,0.0
n-C10,0.0
n-C12,15.5
i-C8,0.0
i-C10,0.0
i-C11,50.3
i-C15,0.0
C9H18,15.2
C10H18,4.2
C7H8,0.0
C8H10,0.0
C9H12,9.4
C9H10,0.04
C9H8,0.0
C10H12,3.9
C10H8,0.05
C11H10,0.3
C12H10,0.1
C12H8,0.1
C14H10,0.02
