Component,Weight Percentage
n-C7,0.0
n-C9,0.0
n-C10,13.7
n-C12,0.0
i-C8,0.0
i-C10,14.7
i-C11,35.0
i-C15,0.0
C9H18,15.0
C10H18,8.9
C7H8,0.0
C8H10,0.0
C9H12,7.6
C9H10,0.0
C9H8,0.7
C10H12,3.1
C10H8,0.1
C11H10,0.9
C12H10,0.2
C12H8,0.0
C14H10,0.0
