Component,Weight Percentage
n-C7,0.0
n-C9,0.0
n-C10,3.7
n-C12,0.0
i-C8,0.0
i-C10,0.0
i-C11,49.7
i-C15,0.0
C9H18,13.1
C10H18,24.1
C7H8,0.0
C8H10,0.0
C9H12,3.7
C9H10,0.0
C9H8,0.0
C10H12,5.4
C10H8,0.02
C11H10,0.2
C12H10,0.0
C12H8,0.0
C14H10,0.0
