Component,Weight Percentage
n-C7,0.0
n-C9,0.0
n-C10,0.0
n-C12,10.1
i-C8,0.0
i-C10,0.0
i-C11,0.0
i-C15,15.0
C9H18,16.4
C10H18,33.8
C7H8,0.0
C8H10,0.0
C9H12,1.9
C9H10,0.1
C9H8,0.4
C10H12,2.5
C10H8,2.0
C11H10,16.1
C12H10,1.7
C12H8,0.1
C14H10,0.0
