Compound,Weight %
Xylene,1.45437295
"Benzene, propyl-",3.145607582
"Benzene, 1-ethyl-2-methyl-",3.549502759
"Benzene, 1,2,3-trimethyl-",1.846509531
"Benzene, 1,3,5-trimethyl-",1.81364819
"Benzene, 1-methyl-3-(1-methylethyl)-",3.986095285
"Benzene, 1-ethyl-2,4-dimethyl-",1.571332572
"Benzene, 2-ethyl-1,4-dimethyl-",1.424983446
"Benzene, 3-ethyl-1,4-dimethyl-",1.57291941
"Benzene, 1-methyl-4-(1-methylpropyl)-",2.410348091
"Benzene, (1-methyl-1-butenyl)-",2.884044103
"Cyclohexane, 2-butyl-1,1,3-trimethyl-",1.292695568
"Cyclohexane, (2-methylpropyl)-",2.195784822
"Cyclohexane, heptyl-",1.78851462
"Cyclohexane, octyl-",1.388878722
"Cyclohexane, 1,1,3-trimethyl-",1.346871143
"Cyclohexane, (1,3-dimethylbutyl)-",1.093953188
"Naphthalene, 1,2,3,4-tetrahydro-",1.50789969
"Naphthalene, 1,2,3,4-tetrahydro-6,7-dimethyl-",1.016007366
"Naphthalene, 1-methyl-",1.075749124
Heptane,1.670836538
"Heptane, 2,6-dimethyl-",1.413771783
Nonane,3.759554121
"Octane, 3,6-dimethyl-",2.156827362
Decane,6.412835419
"Decane, 4-methyl-",2.143422131
"Nonane, 3,7-dimethyl-",0.999605433
"Decane, 2-methyl-",1.476045824
"Decane, 3-methyl-",1.554699898
Undecane,6.938931362
"Undecane, 5-methyl-",1.078675588
"Undecane, 4-methyl-",1.575594427
"Undecane, 2-methyl-",2.140846396
Dodecane,7.261606232
"Undecane, 2,4-dimethyl-",1.399830137
"Dodecane, 5-methyl-",0.820595792
"Dodecane, 4-methyl-",1.370105712
"Dodecane, 2-methyl-",2.618524984
Tridecane,6.007286012
"Tridecane, 2-methyl-",0.812035922
"Tridecane, 3-methyl-",0.8650917
"Dodecane, 4,6-dimethyl-",1.028597105
Tetradecane,3.577794112
Pentadecane,1.827704995
Hexadecane,0.723462855
