Component,Weight Percentage
n-C7,0.0
n-C9,0.0
n-C10,0.0
n-C12,31.7
i-C8,0.0
i-C10,0.0
i-C11,30.3
i-C15,0.0
C9H18,12.6
C10H18,2.2
C7H8,0.0
C8H10,0.0
C9H12,16.3
C9H10,0.0
C9H8,0.0
C10H12,6.4
C10H8,0.03
C11H10,0.1
C12H10,0.1
C12H8,0.0
C14H10,0.0
