Component,Weight Percentage
n-C7,0.0
n-C9,0.0
n-C10,18.3
n-C12,0.0
i-C8,0.0
i-C10,18.0
i-C11,26.5
i-C15,0.0
C9H18,18.6
C10H18,5.9
C7H8,0.0
C8H10,0.0
C9H12,10.2
C9H10,0.0
C9H8,0.4
C10H12,2.0
C10H8,0.023
C11H10,0.1
C12H10,0.03
C12H8,0.0
C14H10,0.0
