Component,Weight Percentage
n-C7,0.0
n-C9,0.0
n-C10,22.6
n-C12,0.0
i-C8,0.0
i-C10,10.7
i-C11,0.0
i-C15,0.0
C9H18,12.3
C10H18,9.4
C7H8,0.1
C8H10,12.9
C9H12,21.9
C9H10,4.2
C9H8,0.0
C10H12,5.5
C10H8,0.3
C11H10,0.04
C12H10,0.006
C12H8,0.0
C14H10,0.0
